"year","tree_age_years","site","crop","plot","yield_straw","yield","data_id","yield_unit","distance_to_tree_strip","field","lat","lon","orientation","soil_type","tree_species","fertilizer","sample_name_db","row","transect","direction","yield_total","aspect","sd_yield","n","yield_tha","yield_straw_tha","yield_total_tha","crop_unified"
2020,NA,"Wendhausen","silage maize","W-AF-r4",NA,0.919126617215768,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919126617215768,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r4",NA,10.1690781190014,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1690781190014,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r4",NA,16.9219685431998,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9219685431998,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r4",NA,32.6436611354305,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6436611354305,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-C-r1",NA,15.3234819811284,"wendhausen1920","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3234819811284,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-C-r2",NA,16.16,"wendhausen1920","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.16,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-C-r3",NA,17.35,"wendhausen1920","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.35,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-C-r4",NA,20.11,"wendhausen1920","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.11,NA,NA,"maize"
2021,NA,"Wendhausen","summer barley","W-AF-r1",3.8,4.250773252,"wendhausen21","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.250773252,3.8,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r1",4,5.283647738,"wendhausen21","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.283647738,4,NA,"barley"
